city,year,page,line_no,organization_name,category,sub_category,line,address,description
Kansas City,1874,46,12,ANCIENT ORDER OF HIBERNIANS,Benevolent and Fraternal,,"ANCIENT ORDER OF HIBERNIANS.-Meets on the first and second Wednesdays of each month, at their Hall, in Med- sker's Buildings, 315 Main. P. Reynolds, President; Andrew Vaughan, Secretary.",,
Kansas City,1874,48,1,IRISH BENEVOLENT SOCIETY,Benevolent and Fraternal,,"IRISH BENEVOLENT SOCIETY.-Meets on the first Sunday in each month, at the Hall of the Knights of Pythias, Seventh, northeast corner Main. John P. Duke, President; Richard, Stephenson, Vice President; John Ryan, Treasurer; Jeremiah Enright, Secretary.",,
Kansas City,1874,48,2,ST. JOSEPHS ROMAN CATHOLIC MUTUAL BENEV- OLENT SOCIETY,Benevolent and Fraternal,,"ST. JOSEPHS ROMAN CATHOLIC MUTUAL BENEV- OLENT SOCIETY.-Meets on the second Sunday of each month, at the Church of the Immaculate Conception. D. M. Jarboe, President; Daniel O'Flaherty, Vice President; David Slater, Treasurer; M. Hanley, Secretary; T. Murphy, Marshal.",,
Kansas City,1874,48,3,CALEDONIAN SOCIETY OF KANSAS CITY,Clubs,,"CALEDONIAN SOCIETY OF KANSAS CITY.-Estab- lished for the relief of distressed Scotchmen. Meets at Dr. Stark's office, 409 Delaware, on the first and third Mondays in each month. James F. Gibson, President; R. S. Jamieson, Vice President; John Smith, Secretary; Dr. John Stark, Treas- urer and Physician; William Young, Chaplain.",,
Kansas City,1874,48,4,B'NAI BRITH SOCIETY,Clubs,,"B'NAI BRITH SOCIETY. Regular meetings in Good Templar's Hafl, second and fourth Mondays in each month. В. Ganz, President; H. Miller, Secretary; B. Davidson, Treasurer.",,
Kansas City,1874,48,5,WOMAN'S CHRISTIAN ASSOCIATION,Welfare Organizations,,"WOMAN'S CHRISTIAN ASSOCIATION.-Eleventh, southwest corner McGee. Mrs. E. E. Branham, President; Mrs. K. Coates, Vice President; Mrs. Doctor Porter, Treasurer; Mrs. Ella Phillips, Recording Secretary; Mrs. Dr. Schauffler and Mrs. J. G. Roberts, Corresponding Secretaries.",,
Kansas City,1874,48,6,"WEST KANSAS CITY BUILDING, LOAN AND SAV- INGS ASSOCIATION",Uncategorized,,"WEST KANSAS CITY BUILDING, LOAN AND SAV- INGS ASSOCIATION.-J. E. Neal, President; O. S. Chap- man, Vice President; J. E. Reeve, Secretary; Jeab Toney, Treasurer. Office, Reeve's drug store, West Kansas.",,
Kansas City,1874,48,7,GERMAN BUILDING ASSOCIATION,Uncategorized,,"GERMAN BUILDING ASSOCIATION. Charles Long, President; Smith D. Wood, Vice President; F. Kellerman, Secretary. 16 West Fifth.",,
Kansas City,1874,48,8,"KANSAS CITY BUILDING, LOAN AND SAVINGS ASSOCIATION",Uncategorized,,"KANSAS CITY BUILDING, LOAN AND SAVINGS ASSOCIATION.-A. A. Bainbridge, President; James Smith,",,
Kansas City,1874,48,2,KANSAS CITY BUILDING AND LOAN ASSOCIATION No. 1,Uncategorized,,"KANSAS CITY BUILDING AND LOAN ASSOCIATION No. 1.-R. Sachs, President; H. L. Huhn, Vice President; W. Gabel, Treasurer; Oscar Koehler, Secretary. Office, Main, southeast corner Tenth.",,
Kansas City,1874,48,3,CO-OPERATIVE BUILDING ASSOCIATION,Uncategorized,,"CO-OPERATIVE BUILDING ASSOCIATION.-William Weston, President; E. H. Webster, Treasurer; A. S. Ingersoll, Secretary. Office, 530 Main.",,
Kansas City,1874,48,4,MUTUAL HOUSE BUILDING ASSOCIATION,Benevolent and Fraternal,,"MUTUAL HOUSE BUILDING ASSOCIATION.-F. Askew, President; C. Brooks, Vice President; Theodore S. Case, Treasurer; J. F. Allen, Secretary. First National Bank Building.",,
Kansas City,1874,48,5,KANSAS CITY MEDICAL SOCIETY,Clubs,,"KANSAS CITY MEDICAL SOCIETY.-A. L. Chapman, M. D., President; M. A. Bogie, M. D., Recording Secretary; J. Ganghofer, M. D., Treasurer; C. D. McDonald, M. D., Corres- ponding Secretary. Office, over 723 Main.",,
Kansas City,1874,48,6,COLLEGE OF PHYSICIANS AND SURGEONS,Clubs,,"COLLEGE OF PHYSICIANS AND SURGEONS.-L. K. Thacher, President; J. F. McAdow, Treasurer; E. W. Schauff- ler, M. D., Secretary; S. S. Todd, M. D., President of the Fac- ulty; J. L. Teed, M. D., Sccretary of the Faculty. Vaughan's Diamond Building.",,
Kansas City,1874,48,7,HOMEOPATHIC MEDICAL SOCIETY OF KANSAS CITY,Uncategorized,,"HOMEOPATHIC MEDICAL SOCIETY OF KANSAS CITY.-Meets first and third Tuesdays of each month, at Dr. Feld's office, west side Delaware, between Fifth and Sixth streets. James Lillie, M. D., President; J. Feld, M. D., Vice President; C. H. Baker, M. D., Secretary; W. H. Jenny, M. D., Treasurer.",,
Kansas City,1874,48,8,KANSAS CITY CLEARING HOUSE,Uncategorized,,"KANSAS CITY CLEARING HOUSE.-J. Q. Watkins, President; L. K. Thacher, Vice President; W. H. Winants, Manager. Meets at the Board of Trade Rooms daily at 12 M.",,
Kansas City,1874,48,9,BOARD OF FIRE UNDERWRITERS,Uncategorized,,"BOARD OF FIRE UNDERWRITERS.-Ed. H. Webster, President; J. D. Rice, Secretary; Walker Buckner, Treasurer.",,
Kansas City,1874,50,2,BOARD OF WATER COMMISSIONERS,Churches,,"BOARD OF WATER COMMISSIONERS.-J. E. Marsh, W. P. Moores and Charles M. Ferree. Office, 540 Main.",,
Kansas City,1874,50,3,KANSAS CITY INDUSTRIAL EXPOSITION AND AGRICULTURAL FAIR ASSOCIATION,Civic Organizations,,"KANSAS CITY INDUSTRIAL EXPOSITION AND AGRICULTURAL FAIR ASSOCIATION. -Kersey Coates, President; W. B. Everhart, Vice President; Daniel L. Hall, Secretary; T. S. Case, Treasurer. Office and Grounds, Twelfth, southwest corner Campbell.",,
Kansas City,1874,50,4,KANSAS CITY TRANSFER COMPANY,Uncategorized,,"KANSAS CITY TRANSFER COMPANY. Kersey Coates, President; L. Dragon, Superintendent; W. W. Brown, Secre- tary. Office, 413 Delaware. Stables, corner Tenth and Broad- way.",,
Kansas City,1874,50,5,KANSAS CITY FREAR STONE AND PIPE MANU- FACTURING CO.,Uncategorized,,"KANSAS CITY FREAR STONE AND PIPE MANU- FACTURING CO.-D. M. Jarboe, President; John R. Balis, Secretary; C. A. Brockett. Business Manager. West Levee, foot of Sixth, West Kansas.",,
Kansas City,1874,50,6,KANSAS STOCK YARD COMPANY,Uncategorized,,"KANSAS STOCK YARD COMPANY.-C. H. Prescott, Secretary; Jerome D. Smith, Superintendent. West side State Line, near Twelfth.",,
Kansas City,1874,50,7,KANSAS CITY LAW LIBRARY ASSOCIATION,Uncategorized,,"KANSAS CITY LAW LIBRARY ASSOCIATION.-War- wick, Hough, President; John D. S. Cook, Secretary; Henry N. Ess, Treasurer; John T. Campbell, Auditor; Wm. J. Ward, Librarian. Rooms, New Court House.",,
Kansas City,1874,50,8,KANSAS CITY GAS LIGHT AND COKE COMPANY,Uncategorized,,"KANSAS CITY GAS LIGHT AND COKE COMPANY.- M. J. Payne, President; J. W. Allen, Secretary; Harry Clark, Superintendent. Office, 11 West Missouri avenue.",,
Kansas City,1874,50,9,"KANSAS CITY TYPOGRAPHICAL UNION, NO. 80",Labor Organizations,,"KANSAS CITY TYPOGRAPHICAL UNION, NO. 80.- Meets first Sunday of every month, at Turner Hall, Main, corner Tenth. Horace Wilcox, President; J. T. Chambers, Vice President; J. C. Coulson, Recording and Corresponding Secretary; R. O. Lucas, Financial Secretary; R. C. Gould,",,
Kansas City,1874,50,1,International Union,Labor Organizations,,"Treasurer; Samuel Woodman, Representative to International Union.",,
Kansas City,1874,50,2,CIGAR MAKERS' UNION,Labor Organizations,,"CIGAR MAKERS' UNION, No. 102. Regular meetings in Turners' Hall, first Saturday night of every month. Henry Blasgen, President; William Breslich, Recording Secretary; Wm. B. Moehle, Financial Secretary.",,
Kansas City,1875,40,2,"WYANDOTTE, KANSAS CITY & NORTHWESTERN RAILWAY",Uncategorized,,"WYANDOTTE, KANSAS CITY & NORTHWESTERN RAILWAY.-Passenger Depot, foot Grand avenue.",,
Kansas City,1875,40,3,CHICAGO & ALTON RAILROAD,Uncategorized,,"CHICAGO & ALTON RAILROAD.-W. H. Reed, Western Agent; Main, southwest corner Fourth.",,
Kansas City,1875,40,4,KANSAS CITY & WESTPORT HORSE RAILROAD COMPANY,Uncategorized,,"KANSAS CITY & WESTPORT HORSE RAILROAD COMPANY.-Meade Woodson, President; C. J. White, Secretary; H. Swindler, Treasurer; H. Holmes, Superintendent. Office and Stable, Westport road, south of O K Creek.",,
Kansas City,1875,40,5,JACKSON COUNTY HORSE RAILROAD COMPANY,Uncategorized,,"JACKSON COUNTY HORSE RAILROAD COMPANY.- Meade Woodson, President; Byron E. Dye, Superintendent. Office, south side Fourth, between Main and Delaware.",,
Kansas City,1875,40,6,UNION DEPOT HORSE RAILROAD COMPANY,Uncategorized,,"UNION DEPOT HORSE RAILROAD COMPANY. Dr. D. Dickerson, President; D. Ellison, Secretary; Byron E. Dye, Superintendent. Office, south side Fourth, between Main and Delaware.",,
Kansas City,1875,40,7,CORRIGAN STREET RAILWAY COMPANY,Uncategorized,,"CORRIGAN STREET RAILWAY COMPANY.-Stables, Seventeenth, corner Catherine.",,
Kansas City,1875,40,8,WESTERN UNION TELEGRAPH COMPANY,Uncategorized,,"WESTERN UNION TELEGRAPH COMPANY.-M. D. Wood, Assistant Superintendent and Manager; 12 West Fifth street.",,
